id 	ref
1	https://grodno.sila.by/ntpk/setevoe_oborudovanie/ASUS/rt-ac1200
2	https://market.yandex.by/product--marshrutizator-cisco-rv130-vpn-router/1713677292
3   https://market.yandex.by/product--marshrutizator-tp-link-tl-r600vpn/8261574/spec?track=tabs&glfilter=4891828%3A12109740
4   https://market.yandex.by/product--marshrutizator-mikrotik-hex-lite/13057287/spec
5   https://market.yandex.by/product--marshrutizator-tp-link-tl-r600vpn/8261574/spec?track=tabs&onstock=1&glfilter=4891828%3A12109740
6   https://market.yandex.by/product--marshrutizator-mikrotik-routerboard-rb3011uias-rm/1713275122
7   https://market.yandex.by/product--marshrutizator-mikrotik-routerboard-rb2011ils-in/13042374/spec
8   https://market.yandex.by/product--marshrutizator-mikrotik-routerboard-rb3011uias-rm/1713275122
9   https://market.yandex.by/product--kommutator-d-link-dxs-1100-16sc/1813650700/spec
10  https://market.yandex.by/product--kommutator-cisco-sf110d-16/12631375?text=%D0%BC%D0%B0%D1%80%D1%88%D1%80%D1%83%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B%20%D0%B8%20%D0%BA%D0%BE%D0%BC%D0%BC%D1%83%D1%82%D0%B0%D1%82%D0%BE%D1%80%D1%8B
11  https://market.yandex.by/product--kommutator-cisco-sf110-16/12631372?text=%D0%BC%D0%B0%D1%80%D1%88%D1%80%D1%83%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B%20%D0%B8%20%D0%BA%D0%BE%D0%BC%D0%BC%D1%83%D1%82%D0%B0%D1%82%D0%BE%D1%80%D1%8B
12  https://market.yandex.by/product--kommutator-cisco-sg220-26/11030615?text=%D0%BC%D0%B0%D1%80%D1%88%D1%80%D1%83%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B%20%D0%B8%20%D0%BA%D0%BE%D0%BC%D0%BC%D1%83%D1%82%D0%B0%D1%82%D0%BE%D1%80%D1%8B
13  https://market.yandex.by/product--kommutator-cisco-sg250-08/650528367
14  https://market.yandex.by/product--kommutator-zyxel-gs1200-8/1964124483?text=%D0%BC%D0%B0%D1%80%D1%88%D1%80%D1%83%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D1%8B%20%D0%B8%20%D0%BA%D0%BE%D0%BC%D0%BC%D1%83%D1%82%D0%B0%D1%82%D0%BE%D1%80%D1%8B
15  https://market.yandex.by/product--kommutator-cisco-sg110d-08/12631381/spec
16  https://market.yandex.by/product--kommutator-cisco-sf110-24/13277875
17  https://market.yandex.by/product--kommutator-cisco-sg110-16/12631376    
